study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_strategy	library_selection	base_count	first_public	last_updated	study_title	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title
PRJEB42019	SAMEA7723398	ERX4803387	ERR4993901	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s019	AMPLICON	PCR	6242456	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993901/ERR4993901.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993901/13114.berry.2.s019.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s019	13114.berry.2.s019
PRJEB42019	SAMEA7723399	ERX4803388	ERR4993902	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s001	AMPLICON	PCR	3974099	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993902/ERR4993902.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993902/13114.bowen.74.s001.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s001	13114.bowen.74.s001
PRJEB42019	SAMEA7723400	ERX4803389	ERR4993903	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s004	AMPLICON	PCR	5213322	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993903/ERR4993903.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993903/13114.bowen.74.s004.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s004	13114.bowen.74.s004
PRJEB42019	SAMEA7723401	ERX4803390	ERR4993904	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s005	AMPLICON	PCR	7682022	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993904/ERR4993904.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993904/13114.bowen.74.s005.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s005	13114.bowen.74.s005
PRJEB42019	SAMEA7723402	ERX4803391	ERR4993905	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s006	AMPLICON	PCR	5971170	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993905/ERR4993905.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993905/13114.bowen.74.s006.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s006	13114.bowen.74.s006
PRJEB42019	SAMEA7723403	ERX4803392	ERR4993906	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s011	AMPLICON	PCR	6015093	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993906/ERR4993906.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993906/13114.bowen.74.s011.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s011	13114.bowen.74.s011
PRJEB42019	SAMEA7723404	ERX4803393	ERR4993907	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s012	AMPLICON	PCR	6869846	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993907/ERR4993907.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993907/13114.bowen.74.s012.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s012	13114.bowen.74.s012
PRJEB42019	SAMEA7723405	ERX4803394	ERR4993908	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.bowen.74.s015	AMPLICON	PCR	3013785	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993908/ERR4993908.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993908/13114.bowen.74.s015.R1.fastq.gz			qiita_sid_13114:13114.bowen.74.s015	13114.bowen.74.s015
PRJEB42019	SAMEA7723406	ERX4803395	ERR4993909	1417798	mollusc metagenome	ILLUMINA	Illumina MiSeq	13114.distel.72.s001	AMPLICON	PCR	2939452	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993909/ERR4993909.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993909/13114.distel.72.s001.R1.fastq.gz			qiita_sid_13114:13114.distel.72.s001	13114.distel.72.s001
PRJEB42019	SAMEA7723407	ERX4803396	ERR4993910	1417798	mollusc metagenome	ILLUMINA	Illumina MiSeq	13114.distel.72.s005	AMPLICON	PCR	1026628	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993910/ERR4993910.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993910/13114.distel.72.s005.R1.fastq.gz			qiita_sid_13114:13114.distel.72.s005	13114.distel.72.s005
PRJEB42019	SAMEA7723408	ERX4803397	ERR4993911	1417798	mollusc metagenome	ILLUMINA	Illumina MiSeq	13114.distel.72.s011	AMPLICON	PCR	4349049	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993911/ERR4993911.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993911/13114.distel.72.s011.R1.fastq.gz			qiita_sid_13114:13114.distel.72.s011	13114.distel.72.s011
PRJEB42019	SAMEA7723409	ERX4803398	ERR4993912	256318	metagenome	ILLUMINA	Illumina MiSeq	13114.distel.72.s014	AMPLICON	PCR	3314471	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993912/ERR4993912.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993912/13114.distel.72.s014.R1.fastq.gz			qiita_sid_13114:13114.distel.72.s014	13114.distel.72.s014
PRJEB42019	SAMEA7723410	ERX4803399	ERR4993913	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s001	AMPLICON	PCR	4426382	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993913/ERR4993913.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993913/13114.girguis.50.s001.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s001	13114.girguis.50.s001
PRJEB42019	SAMEA7723411	ERX4803400	ERR4993914	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s002	AMPLICON	PCR	4648785	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993914/ERR4993914.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993914/13114.girguis.50.s002.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s002	13114.girguis.50.s002
PRJEB42019	SAMEA7723412	ERX4803401	ERR4993915	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s005	AMPLICON	PCR	5522977	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993915/ERR4993915.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993915/13114.girguis.50.s005.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s005	13114.girguis.50.s005
PRJEB42019	SAMEA7723413	ERX4803402	ERR4993916	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s007	AMPLICON	PCR	6245686	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993916/ERR4993916.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993916/13114.girguis.50.s007.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s007	13114.girguis.50.s007
PRJEB42019	SAMEA7723414	ERX4803403	ERR4993917	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s008	AMPLICON	PCR	4303136	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993917/ERR4993917.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993917/13114.girguis.50.s008.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s008	13114.girguis.50.s008
PRJEB42019	SAMEA7723415	ERX4803404	ERR4993918	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s011	AMPLICON	PCR	2660799	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993918/ERR4993918.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993918/13114.girguis.50.s011.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s011	13114.girguis.50.s011
PRJEB42019	SAMEA7723416	ERX4803405	ERR4993919	749906	gut metagenome	ILLUMINA	Illumina MiSeq	13114.girguis.50.s012	AMPLICON	PCR	5149603	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993919/ERR4993919.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993919/13114.girguis.50.s012.R1.fastq.gz			qiita_sid_13114:13114.girguis.50.s012	13114.girguis.50.s012
PRJEB42019	SAMEA7723417	ERX4803406	ERR4993920	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s001	AMPLICON	PCR	4351716	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993920/ERR4993920.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993920/13114.jensen.43.s001.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s001	13114.jensen.43.s001
PRJEB42019	SAMEA7723418	ERX4803407	ERR4993921	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s004	AMPLICON	PCR	4164430	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993921/ERR4993921.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993921/13114.jensen.43.s004.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s004	13114.jensen.43.s004
PRJEB42019	SAMEA7723419	ERX4803408	ERR4993922	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s005	AMPLICON	PCR	7174888	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993922/ERR4993922.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993922/13114.jensen.43.s005.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s005	13114.jensen.43.s005
PRJEB42019	SAMEA7723420	ERX4803409	ERR4993923	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s006	AMPLICON	PCR	5687029	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993923/ERR4993923.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993923/13114.jensen.43.s006.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s006	13114.jensen.43.s006
PRJEB42019	SAMEA7723421	ERX4803410	ERR4993924	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s008	AMPLICON	PCR	5087620	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993924/ERR4993924.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993924/13114.jensen.43.s008.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s008	13114.jensen.43.s008
PRJEB42019	SAMEA7723422	ERX4803411	ERR4993925	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s009	AMPLICON	PCR	7562198	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993925/ERR4993925.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993925/13114.jensen.43.s009.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s009	13114.jensen.43.s009
PRJEB42019	SAMEA7723423	ERX4803412	ERR4993926	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s013	AMPLICON	PCR	6762451	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993926/ERR4993926.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993926/13114.jensen.43.s013.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s013	13114.jensen.43.s013
PRJEB42019	SAMEA7723424	ERX4803413	ERR4993927	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s014	AMPLICON	PCR	5101022	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993927/ERR4993927.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993927/13114.jensen.43.s014.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s014	13114.jensen.43.s014
PRJEB42019	SAMEA7723425	ERX4803414	ERR4993928	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s015	AMPLICON	PCR	2899831	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993928/ERR4993928.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993928/13114.jensen.43.s015.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s015	13114.jensen.43.s015
PRJEB42019	SAMEA7723426	ERX4803415	ERR4993929	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s016	AMPLICON	PCR	5274569	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993929/ERR4993929.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993929/13114.jensen.43.s016.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s016	13114.jensen.43.s016
PRJEB42019	SAMEA7723427	ERX4803416	ERR4993930	412755	marine sediment metagenome	ILLUMINA	Illumina MiSeq	13114.jensen.43.s017	AMPLICON	PCR	4609662	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993930/ERR4993930.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993930/13114.jensen.43.s017.R1.fastq.gz			qiita_sid_13114:13114.jensen.43.s017	13114.jensen.43.s017
PRJEB42019	SAMEA7723428	ERX4803417	ERR4993931	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s001	AMPLICON	PCR	4050043	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993931/ERR4993931.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993931/13114.king.27.s001.R1.fastq.gz			qiita_sid_13114:13114.king.27.s001	13114.king.27.s001
PRJEB42019	SAMEA7723429	ERX4803418	ERR4993932	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s003	AMPLICON	PCR	3022695	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993932/ERR4993932.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993932/13114.king.27.s003.R1.fastq.gz			qiita_sid_13114:13114.king.27.s003	13114.king.27.s003
PRJEB42019	SAMEA7723430	ERX4803419	ERR4993933	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s007	AMPLICON	PCR	4413017	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993933/ERR4993933.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993933/13114.king.27.s007.R1.fastq.gz			qiita_sid_13114:13114.king.27.s007	13114.king.27.s007
PRJEB42019	SAMEA7723431	ERX4803420	ERR4993934	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s008	AMPLICON	PCR	5431030	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993934/ERR4993934.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993934/13114.king.27.s008.R1.fastq.gz			qiita_sid_13114:13114.king.27.s008	13114.king.27.s008
PRJEB42019	SAMEA7723432	ERX4803421	ERR4993935	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s013	AMPLICON	PCR	4909808	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993935/ERR4993935.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993935/13114.king.27.s013.R1.fastq.gz			qiita_sid_13114:13114.king.27.s013	13114.king.27.s013
PRJEB42019	SAMEA7723433	ERX4803422	ERR4993936	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s014	AMPLICON	PCR	4098667	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993936/ERR4993936.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993936/13114.king.27.s014.R1.fastq.gz			qiita_sid_13114:13114.king.27.s014	13114.king.27.s014
PRJEB42019	SAMEA7723434	ERX4803423	ERR4993937	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s017	AMPLICON	PCR	1206694	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993937/ERR4993937.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993937/13114.king.27.s017.R1.fastq.gz			qiita_sid_13114:13114.king.27.s017	13114.king.27.s017
PRJEB42019	SAMEA7723435	ERX4803424	ERR4993938	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s018	AMPLICON	PCR	5675648	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993938/ERR4993938.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993938/13114.king.27.s018.R1.fastq.gz			qiita_sid_13114:13114.king.27.s018	13114.king.27.s018
PRJEB42019	SAMEA7723436	ERX4803425	ERR4993939	410658	soil metagenome	ILLUMINA	Illumina MiSeq	13114.king.27.s021	AMPLICON	PCR	211450	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993939/ERR4993939.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993939/13114.king.27.s021.R1.fastq.gz			qiita_sid_13114:13114.king.27.s021	13114.king.27.s021
PRJEB42019	SAMEA7723437	ERX4803426	ERR4993940	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.mayer.33.s002	AMPLICON	PCR	4026960	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993940/ERR4993940.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993940/13114.mayer.33.s002.R1.fastq.gz			qiita_sid_13114:13114.mayer.33.s002	13114.mayer.33.s002
PRJEB42019	SAMEA7723438	ERX4803427	ERR4993941	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.mayer.33.s003	AMPLICON	PCR	4753127	2020-12-17	2020-12-16	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993941/ERR4993941.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993941/13114.mayer.33.s003.R1.fastq.gz			qiita_sid_13114:13114.mayer.33.s003	13114.mayer.33.s003
